model_name,doc_id,system,language_locale,aspect,human_score,raw_output,judge_score
deepseek/deepseek-chat,e4c27cfc2c87eba9a17d237c0988dcbd,Gemma-3-27B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,d48c3ed115b970b0947d892881d35aa9,AyaExpanse-32B,Egyptian Arabic,coherence,5,6,6.0
deepseek/deepseek-chat,729ece24c8d479efaf9f43a78bcdf42f,DeepSeek-V3,Egyptian Arabic,coherence,5,6,6.0
deepseek/deepseek-chat,df85068ad8d348d04f95ee17882f0da4,Llama-4-Maverick,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,d48c3ed115b970b0947d892881d35aa9,Qwen3-235B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,38b0d67f9db7712c2c589f4ced8943f1,Gemma-3-12B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,e4c27cfc2c87eba9a17d237c0988dcbd,Llama-3,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,13ae1b97872d056d111cbf8dfd1617c2,Gemini-2,Egyptian Arabic,coherence,5,6,6.0
deepseek/deepseek-chat,177682e7e6b3b0b5e4ad47b2fcaa4451,DeepSeek-V3,Egyptian Arabic,coherence,5,6,6.0
deepseek/deepseek-chat,12f396cdef01341d9b307c7048b8d77a,Qwen3-235B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,f41fcb5561abc3e4c98c32d80bd0ac2e,Claude-4,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,7ce9fab7d8a5d11cac47de7ded5fb87c,CommandA,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,25206396b6f90a56a632de9594cfa279,Mistral-7B,Egyptian Arabic,coherence,4,4,4.0
deepseek/deepseek-chat,362fcdcfe450161abe0dfc24f108c8a9,DeepSeek-V3,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,a87d8ce85c5e14f8054f86aaa36f49ad,AyaExpanse-32B,Egyptian Arabic,coherence,1,6,6.0
deepseek/deepseek-chat,13ae1b97872d056d111cbf8dfd1617c2,GPT-4,Egyptian Arabic,coherence,4,6,6.0
deepseek/deepseek-chat,b15d69d9ac2994c645e9c261a9036af5,AyaExpanse-8B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,aec42313c4c01a4d1e2240d54ab41992,AyaExpanse-32B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,13ae1b97872d056d111cbf8dfd1617c2,Qwen3-235B,Egyptian Arabic,coherence,5,6,6.0
deepseek/deepseek-chat,25206396b6f90a56a632de9594cfa279,Gemma-3-12B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,6caeb46fd20a0b0f5a9f74da715d8b77,CommandA,Egyptian Arabic,coherence,6,6,6.0
deepseek/deepseek-chat,df85068ad8d348d04f95ee17882f0da4,AyaExpanse-8B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,0a3da1ceeb83f664b813bb28f001d766,CommandA,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,c78e58efb81dc261314dbe9683046b8a,CommandR7B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,fd3d2779b04a00f64e86ebda4403eb34,Mistral-7B,Egyptian Arabic,coherence,1,6,6.0
deepseek/deepseek-chat,cb75a2b7d6041b0ce85ec4218fe2f5e0,Mistral-7B,Egyptian Arabic,coherence,1,3,3.0
deepseek/deepseek-chat,941c034555e30f65555a5ce841836317,CommandR7B,Egyptian Arabic,coherence,5,6,6.0
deepseek/deepseek-chat,dff06d843446af8648fc9ff9afacb718,Gemma-3-12B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,a87d8ce85c5e14f8054f86aaa36f49ad,Qwen2,Egyptian Arabic,coherence,1,6,6.0
deepseek/deepseek-chat,24223944994a18d516282ccef47ac54d,Gemma-3-27B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,d48c3ed115b970b0947d892881d35aa9,Mistral-Medium,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,7ce9fab7d8a5d11cac47de7ded5fb87c,AyaExpanse-32B,Egyptian Arabic,coherence,5,6,6.0
deepseek/deepseek-chat,c145f96bc4b6c5d0d18e06e89cb629bd,Claude-4,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,13ae1b97872d056d111cbf8dfd1617c2,Gemma-3-12B,Egyptian Arabic,coherence,6,6,6.0
deepseek/deepseek-chat,c78e58efb81dc261314dbe9683046b8a,Qwen3-235B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,f188e8e224ad837ca63d8472c69cf931,Gemini-2,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,44ea53138d50a0f07b1fb8d5fa927a6d,DeepSeek-V3,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,14e076d13751e87d8c09f7f13125e755,Gemma-3-12B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,f41fcb5561abc3e4c98c32d80bd0ac2e,Qwen3-235B,Egyptian Arabic,coherence,4,6,6.0
deepseek/deepseek-chat,b15d69d9ac2994c645e9c261a9036af5,Qwen2,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,9071b005524e4661f6718fe829648c22,Gemma-3-12B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,dff06d843446af8648fc9ff9afacb718,AyaExpanse-32B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,d48c3ed115b970b0947d892881d35aa9,Mistral-7B,Egyptian Arabic,coherence,4,3,3.0
deepseek/deepseek-chat,b400d942abc879906d5d2e7cbf1445b5,Claude-4,Egyptian Arabic,coherence,5,6,6.0
deepseek/deepseek-chat,aec42313c4c01a4d1e2240d54ab41992,GPT-4,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,aec42313c4c01a4d1e2240d54ab41992,CommandR7B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,453dbf627af720e73ca10e171bd55725,Mistral-Medium,Egyptian Arabic,coherence,6,6,6.0
deepseek/deepseek-chat,12f396cdef01341d9b307c7048b8d77a,Gemma-3-27B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,453dbf627af720e73ca10e171bd55725,CommandA,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,aec42313c4c01a4d1e2240d54ab41992,Gemma-3-12B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,e164924261a2ff3dddb8d1e0b4e5fdb6,AyaExpanse-32B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,c145f96bc4b6c5d0d18e06e89cb629bd,Qwen2,Egyptian Arabic,coherence,1,6,6.0
deepseek/deepseek-chat,169c53c4e9f905b5a1579bb2c89f80b4,Gemma-3-27B,Egyptian Arabic,coherence,5,6,6.0
deepseek/deepseek-chat,f41fcb5561abc3e4c98c32d80bd0ac2e,AyaExpanse-32B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,941c034555e30f65555a5ce841836317,Claude-4,Egyptian Arabic,coherence,6,6,6.0
deepseek/deepseek-chat,170d490a7ae53347e8fe3eabe4e28001,GPT-4,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,453dbf627af720e73ca10e171bd55725,Llama-3,Egyptian Arabic,coherence,3,5,5.0
deepseek/deepseek-chat,aec42313c4c01a4d1e2240d54ab41992,Gemma-3-27B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,453dbf627af720e73ca10e171bd55725,Claude-4,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,cb75a2b7d6041b0ce85ec4218fe2f5e0,AyaExpanse-8B,Egyptian Arabic,coherence,5,6,6.0
deepseek/deepseek-chat,170d490a7ae53347e8fe3eabe4e28001,AyaExpanse-8B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,df85068ad8d348d04f95ee17882f0da4,Gemini-2,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,e164924261a2ff3dddb8d1e0b4e5fdb6,Llama-4-Maverick,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,f188e8e224ad837ca63d8472c69cf931,Mistral-Medium,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,a87d8ce85c5e14f8054f86aaa36f49ad,DeepSeek-V3,Egyptian Arabic,coherence,5,6,6.0
deepseek/deepseek-chat,f41fcb5561abc3e4c98c32d80bd0ac2e,Gemini-2,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,e91353a8c4dde03994b2cbfb5521172e,CommandR7B,Egyptian Arabic,coherence,5,6,6.0
deepseek/deepseek-chat,362fcdcfe450161abe0dfc24f108c8a9,AyaExpanse-8B,Egyptian Arabic,coherence,6,6,6.0
deepseek/deepseek-chat,169c53c4e9f905b5a1579bb2c89f80b4,CommandA,Egyptian Arabic,coherence,6,6,6.0
deepseek/deepseek-chat,b9b10ffcbee1477b164fd32d4ef7fb40,Gemma-3-12B,Egyptian Arabic,coherence,5,7,7.0
deepseek/deepseek-chat,7ce9fab7d8a5d11cac47de7ded5fb87c,Llama-3,Egyptian Arabic,coherence,5,5,5.0
deepseek/deepseek-chat,34ff7b0c7d176187b5f56965bc072870,Gemini-2,Egyptian Arabic,coherence,6,6,6.0
deepseek/deepseek-chat,fb2c387e7e5272a43305940219116463,Mistral-7B,Egyptian Arabic,coherence,1,3,3.0
deepseek/deepseek-chat,362fcdcfe450161abe0dfc24f108c8a9,Claude-4,Egyptian Arabic,coherence,2,2,2.0
deepseek/deepseek-chat,aec42313c4c01a4d1e2240d54ab41992,CommandA,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,104373856e995a074579797ebe34fcb2,Llama-3,Egyptian Arabic,coherence,5,6,6.0
deepseek/deepseek-chat,63d411be4c5a409e108fbdce6e3f8689,GPT-4,Egyptian Arabic,coherence,6,6,6.0
deepseek/deepseek-chat,fdefc09bc79c168c6ee59c351ac5db78,Mistral-Medium,Egyptian Arabic,coherence,6,6,6.0
deepseek/deepseek-chat,0a3da1ceeb83f664b813bb28f001d766,DeepSeek-V3,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,c78e58efb81dc261314dbe9683046b8a,Mistral-Medium,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,c145f96bc4b6c5d0d18e06e89cb629bd,CommandA,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,e4c27cfc2c87eba9a17d237c0988dcbd,GPT-4,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,177682e7e6b3b0b5e4ad47b2fcaa4451,Qwen2,Egyptian Arabic,coherence,1,5,5.0
deepseek/deepseek-chat,fd3d2779b04a00f64e86ebda4403eb34,DeepSeek-V3,Egyptian Arabic,coherence,6,6,6.0
deepseek/deepseek-chat,aec42313c4c01a4d1e2240d54ab41992,Qwen3-235B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,df85068ad8d348d04f95ee17882f0da4,Gemma-3-27B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,f41fcb5561abc3e4c98c32d80bd0ac2e,Llama-4-Maverick,Egyptian Arabic,coherence,5,6,6.0
deepseek/deepseek-chat,453dbf627af720e73ca10e171bd55725,CommandR7B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,619fdd90dcf02a109782351e726f434d,CommandR7B,Egyptian Arabic,coherence,4,6,6.0
deepseek/deepseek-chat,f41fcb5561abc3e4c98c32d80bd0ac2e,Mistral-7B,Egyptian Arabic,coherence,1,3,3.0
deepseek/deepseek-chat,b400d942abc879906d5d2e7cbf1445b5,Mistral-Medium,Egyptian Arabic,coherence,5,5,5.0
deepseek/deepseek-chat,169c53c4e9f905b5a1579bb2c89f80b4,Qwen3-235B,Egyptian Arabic,coherence,5,6,6.0
deepseek/deepseek-chat,c145f96bc4b6c5d0d18e06e89cb629bd,Mistral-Medium,Egyptian Arabic,coherence,4,6,6.0
deepseek/deepseek-chat,729ece24c8d479efaf9f43a78bcdf42f,Qwen3-235B,Egyptian Arabic,coherence,1,6,6.0
deepseek/deepseek-chat,e91353a8c4dde03994b2cbfb5521172e,AyaExpanse-32B,Egyptian Arabic,coherence,6,6,6.0
deepseek/deepseek-chat,453dbf627af720e73ca10e171bd55725,GPT-4,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,12f396cdef01341d9b307c7048b8d77a,GPT-4,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,d48c3ed115b970b0947d892881d35aa9,Gemma-3-12B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,38b0d67f9db7712c2c589f4ced8943f1,Mistral-Medium,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,177682e7e6b3b0b5e4ad47b2fcaa4451,CommandR7B,Egyptian Arabic,coherence,6,6,6.0
deepseek/deepseek-chat,fd3d2779b04a00f64e86ebda4403eb34,Gemma-3-27B,Egyptian Arabic,coherence,6,6,6.0
deepseek/deepseek-chat,34ff7b0c7d176187b5f56965bc072870,Claude-4,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,c145f96bc4b6c5d0d18e06e89cb629bd,Gemma-3-27B,Egyptian Arabic,coherence,7,7,7.0
deepseek/deepseek-chat,b9b10ffcbee1477b164fd32d4ef7fb40,Llama-3,Egyptian Arabic,coherence,6,6,6.0
deepseek/deepseek-chat,7a80c8edbaf9cffb15d2a71bb2427672,AyaExpanse-8B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,25206396b6f90a56a632de9594cfa279,AyaExpanse-32B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,e4c27cfc2c87eba9a17d237c0988dcbd,Qwen2,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,13ae1b97872d056d111cbf8dfd1617c2,CommandA,Egyptian Arabic,coherence,6,6,6.0
deepseek/deepseek-chat,7a80c8edbaf9cffb15d2a71bb2427672,Claude-4,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,9071b005524e4661f6718fe829648c22,Mistral-7B,Egyptian Arabic,coherence,1,2,2.0
deepseek/deepseek-chat,fb2c387e7e5272a43305940219116463,CommandA,Egyptian Arabic,coherence,2,7,7.0
deepseek/deepseek-chat,c78e58efb81dc261314dbe9683046b8a,Gemini-2,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,619fdd90dcf02a109782351e726f434d,Gemma-3-27B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,aec42313c4c01a4d1e2240d54ab41992,Claude-4,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,12f396cdef01341d9b307c7048b8d77a,Mistral-Medium,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,e4c27cfc2c87eba9a17d237c0988dcbd,AyaExpanse-32B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,Gemini-2,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,169c53c4e9f905b5a1579bb2c89f80b4,Llama-4-Maverick,Egyptian Arabic,coherence,5,6,6.0
deepseek/deepseek-chat,38b0d67f9db7712c2c589f4ced8943f1,Mistral-7B,Egyptian Arabic,coherence,3,5,5.0
deepseek/deepseek-chat,f188e8e224ad837ca63d8472c69cf931,GPT-4,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,7a80c8edbaf9cffb15d2a71bb2427672,AyaExpanse-32B,Egyptian Arabic,coherence,3,6,6.0
deepseek/deepseek-chat,df85068ad8d348d04f95ee17882f0da4,Gemma-3-12B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,38b0d67f9db7712c2c589f4ced8943f1,Qwen2,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,63d411be4c5a409e108fbdce6e3f8689,Gemma-3-12B,Egyptian Arabic,coherence,6,6,6.0
deepseek/deepseek-chat,177682e7e6b3b0b5e4ad47b2fcaa4451,Llama-4-Maverick,Egyptian Arabic,coherence,6,6,6.0
deepseek/deepseek-chat,95641032115fac92e1ea4efa811faae8,Llama-3,Egyptian Arabic,coherence,7,5,5.0
deepseek/deepseek-chat,729ece24c8d479efaf9f43a78bcdf42f,AyaExpanse-32B,Egyptian Arabic,coherence,6,6,6.0
deepseek/deepseek-chat,24223944994a18d516282ccef47ac54d,AyaExpanse-8B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,619fdd90dcf02a109782351e726f434d,AyaExpanse-32B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,170d490a7ae53347e8fe3eabe4e28001,Claude-4,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,cb75a2b7d6041b0ce85ec4218fe2f5e0,Qwen3-235B,Egyptian Arabic,coherence,3,6,6.0
deepseek/deepseek-chat,9071b005524e4661f6718fe829648c22,Qwen3-235B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,c145f96bc4b6c5d0d18e06e89cb629bd,Mistral-7B,Egyptian Arabic,coherence,1,2,2.0
deepseek/deepseek-chat,13ae1b97872d056d111cbf8dfd1617c2,Llama-4-Maverick,Egyptian Arabic,coherence,6,6,6.0
deepseek/deepseek-chat,13ae1b97872d056d111cbf8dfd1617c2,Mistral-7B,Egyptian Arabic,coherence,1,5,5.0
deepseek/deepseek-chat,362fcdcfe450161abe0dfc24f108c8a9,Mistral-Medium,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,0a3da1ceeb83f664b813bb28f001d766,Gemini-2,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,14e076d13751e87d8c09f7f13125e755,CommandA,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,95641032115fac92e1ea4efa811faae8,Mistral-Medium,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,f41fcb5561abc3e4c98c32d80bd0ac2e,Gemma-3-27B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,14e076d13751e87d8c09f7f13125e755,Mistral-7B,Egyptian Arabic,coherence,3,2,2.0
deepseek/deepseek-chat,7a80c8edbaf9cffb15d2a71bb2427672,CommandA,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,cb75a2b7d6041b0ce85ec4218fe2f5e0,DeepSeek-V3,Egyptian Arabic,coherence,1,6,6.0
deepseek/deepseek-chat,44ea53138d50a0f07b1fb8d5fa927a6d,Claude-4,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,e91353a8c4dde03994b2cbfb5521172e,Llama-4-Maverick,Egyptian Arabic,coherence,5,6,6.0
deepseek/deepseek-chat,7a80c8edbaf9cffb15d2a71bb2427672,Qwen2,Egyptian Arabic,coherence,5,5,5.0
deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,DeepSeek-V3,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,22645d3694ea307a2d88a0b1669a4550,Llama-4-Maverick,Egyptian Arabic,coherence,1,5,5.0
deepseek/deepseek-chat,fb2c387e7e5272a43305940219116463,Qwen2,Egyptian Arabic,coherence,1,6,6.0
deepseek/deepseek-chat,729ece24c8d479efaf9f43a78bcdf42f,Mistral-Medium,Egyptian Arabic,coherence,1,5,5.0
deepseek/deepseek-chat,df85068ad8d348d04f95ee17882f0da4,Qwen2,Egyptian Arabic,coherence,6,6,6.0
deepseek/deepseek-chat,6caeb46fd20a0b0f5a9f74da715d8b77,Claude-4,Egyptian Arabic,coherence,6,6,6.0
deepseek/deepseek-chat,b9b10ffcbee1477b164fd32d4ef7fb40,GPT-4,Egyptian Arabic,coherence,6,6,6.0
deepseek/deepseek-chat,63d411be4c5a409e108fbdce6e3f8689,CommandA,Egyptian Arabic,coherence,6,7,7.0
deepseek/deepseek-chat,e164924261a2ff3dddb8d1e0b4e5fdb6,Llama-3,Egyptian Arabic,coherence,6,5,5.0
deepseek/deepseek-chat,729ece24c8d479efaf9f43a78bcdf42f,Gemma-3-12B,Egyptian Arabic,coherence,1,6,6.0
deepseek/deepseek-chat,44ea53138d50a0f07b1fb8d5fa927a6d,GPT-4,Egyptian Arabic,coherence,3,6,6.0
deepseek/deepseek-chat,941c034555e30f65555a5ce841836317,Mistral-7B,Egyptian Arabic,coherence,1,5,5.0
deepseek/deepseek-chat,dff06d843446af8648fc9ff9afacb718,AyaExpanse-8B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,dff06d843446af8648fc9ff9afacb718,GPT-4,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,e91353a8c4dde03994b2cbfb5521172e,AyaExpanse-8B,Egyptian Arabic,coherence,5,6,6.0
deepseek/deepseek-chat,f188e8e224ad837ca63d8472c69cf931,Qwen2,Egyptian Arabic,coherence,1,3,3.0
deepseek/deepseek-chat,95641032115fac92e1ea4efa811faae8,Gemini-2,Egyptian Arabic,coherence,7,7,7.0
deepseek/deepseek-chat,95641032115fac92e1ea4efa811faae8,AyaExpanse-32B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,25206396b6f90a56a632de9594cfa279,DeepSeek-V3,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,170d490a7ae53347e8fe3eabe4e28001,AyaExpanse-32B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,6caeb46fd20a0b0f5a9f74da715d8b77,CommandR7B,Egyptian Arabic,coherence,6,6,6.0
deepseek/deepseek-chat,dff06d843446af8648fc9ff9afacb718,Qwen2,Egyptian Arabic,coherence,5,5,5.0
deepseek/deepseek-chat,941c034555e30f65555a5ce841836317,Gemini-2,Egyptian Arabic,coherence,5,6,6.0
deepseek/deepseek-chat,7ce9fab7d8a5d11cac47de7ded5fb87c,Gemini-2,Egyptian Arabic,coherence,5,6,6.0
deepseek/deepseek-chat,729ece24c8d479efaf9f43a78bcdf42f,Llama-4-Maverick,Egyptian Arabic,coherence,1,6,6.0
deepseek/deepseek-chat,38b0d67f9db7712c2c589f4ced8943f1,CommandR7B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,362fcdcfe450161abe0dfc24f108c8a9,Qwen3-235B,Egyptian Arabic,coherence,7,6,6.0
deepseek/deepseek-chat,7ce9fab7d8a5d11cac47de7ded5fb87c,Mistral-7B,Egyptian Arabic,coherence,5,5,5.0
